sample,finger,manipulability,dexterity,x,y,z
8,pinky,2.5122349057220866e-05,0.10402446546124787,-0.04851986170404267,0.03490675194993649,0.10536783920939549
9,thumb,9.05492799007595e-05,0.09141146742632626,0.006385459517364286,0.01813596717460964,0.09003349657985615
9,index,8.043093630555763e-06,0.11836931695855968,0.05877033616619756,0.0710984143273145,0.10887098847981652
9,middle,6.193760866499953e-05,0.09486474515313773,0.00887200665161309,0.06101206409918198,0.09379585384786596
9,ring,0.00012435110623616345,0.12241834407300974,-0.005788716099093679,0.0966555222630311,0.09141001648221095
9,pinky,2.914108132352254e-05,0.0862651805980752,-0.036283377902351754,0.0008970573534065676,0.07766833643804331
10,thumb,6.994995939991432e-05,0.09641339587763607,-0.01048646144985127,-0.006096695955367642,0.10754816390137756
10,index,1.5627469720747864e-05,0.138225450247278,0.051909222095747776,0.11219459574939568,0.08974992139819651
10,middle,0.00012343256364533248,0.13695013797931313,0.0018423860878416878,0.12312442521854015,0.08137255618185069
10,ring,0.00015350434129337957,0.12577901184785906,-0.01513935687937099,0.10545932449916347,0.08265559601484207
10,pinky,7.131307698123108e-05,0.08665457379289943,-0.051978336683288,0.042551967653486344,0.08165437239817376
11,thumb,8.201795181871458e-05,0.1034559033493343,0.05130616876300178,0.004394977814381324,0.11272160322034024
11,index,1.2285868984250185e-05,0.16257735818649416,0.035038617727758126,0.14844994076980175,0.030587300178221283
11,middle,9.705335051637948e-05,0.15517227142364426,-0.00885337200019714,0.14525856128499068,0.053023609888185386
11,ring,3.126052701253675e-05,0.13691062091598044,-0.03269621620755189,0.10910677073706168,0.09095144402373047
11,pinky,1.1523741551335285e-05,0.12269080451793196,-0.06497879069934777,0.07330714177268195,0.09871883078067215
12,thumb,0.00014057370938606704,0.11644462238971409,0.034549470381358735,0.03981309522883682,-0.031453994328245805
12,index,0.00012185215722419766,0.15543944150835592,0.05884645647862591,0.13894760182358407,0.047853738309243554
12,middle,4.0130874922245917e-05,0.08429433546662228,0.011795510610626782,0.017447185848907136,0.07203245354822257
12,ring,0.00017408113244218358,0.14329544323813725,-0.027444757897607853,0.12737925060467495,0.061721892378368365
12,pinky,0.0001783362560068211,0.11880546421530573,-0.06891570732171981,0.08988244094419752,0.0610407145867847
13,thumb,8.155259503276813e-05,0.15118533055213912,0.01935338993379839,0.07651623557151088,0.06344642631002395
13,index,0.0002147093506187411,0.12261722187829578,0.05818054559144264,0.11376846758139625,0.04482854899473439
13,middle,4.108716202777351e-06,0.11120569117924112,0.016851492573514842,0.06176225905095067,0.11211607770347082
13,ring,1.7867952042594005e-05,0.10445989172388406,-0.01654485639550842,0.039086765543129225,0.10727668668245191
13,pinky,2.8549012422478265e-05,0.08778713164722772,-0.03953624721458525,0.02722826524027202,0.08850344678002846
14,thumb,0.0001334397942752543,0.10666607613965295,-0.026402915097133002,0.013811474487883363,0.09259181206138939
14,index,4.4762416873023666e-05,0.10564887154010036,0.037940083904571924,0.0546649005144936,0.10584950103643206
14,middle,0.0002251679016625118,0.13569725592044687,-0.0061807249543347886,0.1322509415132411,0.044176287464916246
14,ring,0.0002256580658658115,0.1437121386435919,-0.0028183172658448577,0.13362352517570764,0.03424157933658317
14,pinky,0.00017914995768144717,0.14765293997978768,-0.08260989762594195,0.1157564009058144,0.024992693751166653
15,thumb,0.00015582894174452226,0.11987504208767868,-0.003947195340077408,0.0426189554130462,0.08918579996341942
15,index,2.7264619556458002e-05,0.08690331985094223,0.0373290672837466,0.01519525150659852,0.07985858819011363
15,middle,6.396888778384772e-05,0.13806134586811852,0.0006926820851614556,0.12106446452377162,0.08754584705869053
15,ring,1.3729013287076165e-05,0.10246516638175944,-0.014212142892174207,0.03521809677255719,0.10498273852358751
15,pinky,7.781071986676795e-05,0.12067162220903134,-0.06001883185190925,0.0766345821523028,0.09426382107813286
16,thumb,3.772874171589038e-05,0.10562203935102447,0.027013862004584846,-0.00276497882140137,0.12406350672636156
16,index,0.0001308323999576355,0.12817734876402948,0.03670478011989023,0.10523988379402463,0.08733514665444553
16,middle,0.00017409557206529393,0.14618605249113512,0.0043532643345178985,0.1391683683485838,0.05694008978001018
16,ring,0.0002149637367153853,0.14996635864902383,-0.013652671325046618,0.13964159767305823,0.023086168799980482
16,pinky,1.3226309193055165e-05,0.12477122139641218,-0.06159138402360787,0.07889200964552667,0.09674318807856797
17,thumb,1.0936955454579893e-05,0.1321049075902319,0.08747339649552603,0.016373892983520936,-0.04168424922058239
17,index,0.00019854437883882813,0.12480907001346347,0.03225468924880271,0.11269283257177538,0.06350797763041897
17,middle,3.6790566712213024e-05,0.1469524155287637,-0.0004097634490287704,0.1336005843008624,0.07602989939328537
17,ring,6.906087385625052e-05,0.1041154689622842,-0.01380620278186098,0.062008119481383295,0.1008658145032702
17,pinky,0.00018451071552379395,0.13404932590363178,-0.048244677703094326,0.1100257249985344,0.054072489368681045
18,thumb,0.00016126392347572442,0.13122664719320778,0.03519393516237204,0.05762050243456392,0.08218909043348843
18,index,7.840361207986006e-05,0.0975236301650704,0.039433299831358015,0.06105385932810862,0.09352178200753183
18,middle,9.260927445840249e-06,0.12552283071841003,0.004578352114652993,0.09823957732860798,0.1034648448478039
18,ring,4.0535620773970684e-05,0.16220064788662364,-0.004121744054423105,0.14785685542859373,0.031185967371250244
18,pinky,3.3900853666142e-05,0.10107216391769479,-0.04071250345199455,0.03680955867565827,0.10220366861464446
19,thumb,0.00011017248233919818,0.13389537127783863,0.02556369615087638,0.05518650101944807,0.09449909186928218
19,index,6.1208276237404566e-06,0.09592126140855167,0.03853321762913871,0.029408301200699368,0.09685041639876325
19,middle,0.0002208430459681302,0.14756428615288217,0.00029658465598042224,0.14438396301257866,0.02779895735229619
19,ring,0.00015761093236887815,0.15722346348204552,-0.016712220722215357,0.144625315131675,0.028197787174949012
19,pinky,0.000165984320252432,0.12186453026329472,-0.05450731966743337,0.09391486432576898,0.06918548584804635
20,thumb,0.00011405449941136266,0.11892881651134318,0.026329109411964077,0.03665327435793173,0.10578913798105118
20,index,0.00021624231343738565,0.14867582007181848,0.09036729836692212,0.1250277441501048,0.028463662744986136
20,middle,0.00012430952965741696,0.10785181662746592,0.017825135004168217,0.08949257146697731,0.08919591754275236
20,ring,6.872983926243282e-06,0.09101129262683536,-0.0134636064249159,0.029503063150901843,0.09123703162517732
20,pinky,0.00016314328067058877,0.10981086971641235,-0.03766590504986061,0.08728999035786585,0.0637373329593284
21,thumb,0.00018859277173513474,0.13322356913192845,-0.03199912398353463,0.04848815073313594,0.0636263778609497
21,index,2.8777376782870806e-05,0.15972460080402978,0.047011003951397304,0.14434434563632143,0.04455421650082825
21,middle,1.228221993864515e-05,0.10869049193076434,0.012752910904673865,0.05377643885791113,0.11132842051371236
21,ring,0.00013444430614000904,0.13956392285725072,-0.037169348877857486,0.11732042159451958,0.07632588568949003
21,pinky,8.902522276058521e-05,0.1367473667244921,-0.05197362400102394,0.10428978788412721,0.07698757539701023
22,thumb,0.00018595447706983446,0.11799313044440153,0.02345915388275046,0.05637298821524543,0.01366912130303134
22,index,5.8339242667614646e-05,0.16126741606533523,0.05453804100917095,0.14590290626659405,0.03481062031734599
22,middle,0.0001170942888817829,0.12578987338149983,0.024851313369942524,0.10680274152827389,0.09157797304232451
22,ring,1.7394986862263857e-05,0.08704250977524372,-0.010147500296658965,0.019705958267504327,0.08258770816950496
22,pinky,0.00010616086563258543,0.10840534364362175,-0.056176038715474934,0.0664647426357845,0.09002841074989654
23,thumb,9.80295134755168e-05,0.15254577139766545,-0.024389089273829538,0.0686966510123281,0.011485838442932973
23,index,0.00014655287973295878,0.1346427780764875,0.047693679303450524,0.11469038354661694,0.07898428655066671
23,middle,0.00013136740685356618,0.15813517760790874,0.013333126727841446,0.15229300504887117,0.034712274011548055
23,ring,0.0001449774478442593,0.11307593391150267,-0.027366503827176918,0.08990232431016396,0.08475253850624072
23,pinky,4.5310862428572565e-05,0.08928503108058468,-0.04703692013957364,0.032865504061969614,0.08917299250445081
